partner,tipo,region,trajo_oportunidades,trajo_clientes,paga_certificacion,total_pagado
accenture,Partner,Spain,true,false,true,
adif,Cliente,Spain,,,false,
aeroengy,Cliente,Spain,,,false,
aerorocivil,Cliente,Spain,,,false,
agatadata,Cliente,Spain,,,false,
actinvision,Partner,,,,false,
aguasdebilbao,,,,,false,
alamoconsulting,Partner,Spain,true,true,true,
alsea,Cliente,Spain,,,false,
altia,Partner,Spain,true,false,false,
atmira,Cliente,Spain,,,false,
audertis,,,,,false,
ausolan,,,,,false,
azurian,Partner,LATAM,true,true,false,
babelgroup,Partner,Spain,false,false,false,2600.0
badeckandardtty,Partner,LATAM,false,false,false,
balantia,Cliente,Spain,true,false,false,
banbajio,Cliente,Spain,,,false,
bancointernacional,Cliente,Spain,,,false,
banesco,Cliente,,,,false,
beonx,Cliente,Spain,,,false,
bigspark,Cliente,Spain,,,false,
bosonit,Partner,Spain,false,false,false,
businessdecision,Partner,France,false,false,false,
caceis,Cliente,Spain,,,false,
campofriofg,Cliente,Spain,,,false,
capgemini,Partner,Spain,,,false,
cecamagan,,,,,false,
centrohub,Partner,,,,false,
cgi,Partner,France,false,false,false,
cibernetica,Partner,LATAM,true,false,false,
cgranja,,,,,false,
channel4,Cliente,UK,,,false,
codaltec,Partner,,,,false,
cloudgenia,Partner,,,,false,
citco,Cliente,Spain,,,false,
contextual,Partner,Spain,false,false,false,
codigofacilito,Partner,,,,false,
colmedica,Cliente,Spain,,,false,
colsubsidio,Cliente,Spain,,,false,
comfandi,Cliente,Spain,,,false,
dataonnet,Partner,LATAM,false,false,false,
covea,Cliente,France,,,true,
daayalal,,,,,false,
danskebank,Cliente,UK,,,false,
datua,Partner,Spain,true,true,false,
deloitte,Partner,Spain,true,false,false,
deloitte netherland,Partner,UK,false,false,false,
deloittemx,Partner,LATAM,true,false,false,
dwconsulware,Partner,LATAM,true,false,false,
efitec,Partner,LATAM,false,false,false,
dentsu,Cliente,,,,false,
dinersclub,Cliente,Spain,,,false,
dtaragon,Cliente,,,,false,
es.ey,Partner,Spain,true,true,false,
evolutio,Partner,Spain,true,false,false,
endava,Cliente,UK,,,false,
eroski,Cliente,Spain,,,false,
evolvedata,Partner,LATAM,true,false,false,
ey.gds,Partner,Spain,false,false,false,
eyfasstech,Partner,Spain,false,false,false,
fujitsu,Partner,Spain,false,false,false,1089.0
getechnologies,Partner,LATAM,false,false,false,
fna,Cliente,LATAM,,,false,
globalhitss,Partner,LATAM,true,false,false,
gescobro,Cliente,,,,false,
globant,Partner,Spain,false,false,false,
growdata,Partner,LATAM,true,false,false,
globalomnium,Cliente,Spain,,,false,
gruposolutia,Partner,Spain,true,true,false,
handytec,Partner,LATAM,true,false,false,
gruposantander,Cliente,Spain,,,false,
hiberus,Partner,Spain,true,false,false,
inetum,Partner,Spain,false,false,false,
helvetia,Cliente,Spain,,,false,
initium,Partner,LATAM,true,false,false,
hsbc,Cliente,Spain,,,false,
ia2,,,,,false,
ineco,Cliente,Spain,,,false,
inycom,Partner,Spain,true,false,false,
informadb,Cliente,Spain,,,false,
iteraprocess,Partner,LATAM,true,false,false,
izertis,Partner,Spain,true,true,false,
lagan,Partner,UK,false,false,false,
libelium,Partner,Spain,,,false,1300.0
minsait,Partner,Spain,true,false,true,
mizuho,,,,,false,
mnemo,Partner,Spain,true,true,false,
lks,Partner,,,,false,2250.0
mahou,Cliente,Spain,,,false,
mnemocolombia,Partner,LATAM,,,false,
myq,Partner,LATAM,true,true,false,
neolab,Partner,LATAM,false,false,false,
msi,,,,,false,
msiberia,,,,,false,
neoris,Partner,Spain,true,true,true,
neoris colombia,Partner,LATAM,true,true,true,
nfq,Partner,Spain,true,false,false,
nttdata,Partner,Spain,true,false,false,
nunsys,Partner,Spain,true,false,false,
oesia,Partner,Spain,false,false,false,
opentrends,Partner,Spain,true,true,false,
peripherals,Partner,Spain,true,false,false,
opentrends,,,,,false,
pinqankanki,Partner,LATAM,true,false,false,
orenes,Cliente,Spain,,,false,
pagonxt,Cliente,,,,false,
pichincha,Cliente,LATAM,,,false,
pragma,Partner,LATAM,false,false,false,
rovintim,,,,,false,
sdggroup,Partner,Spain,false,false,false,
sacyl,,,,,false,
sancards,Cliente,Spain,,,false,
santanderconsumer,,,,,false,
sbseguro,Cliente,LATAM,,,false,
sbseguros,Cliente,LATAM,,,false,
scs,,,,,false,
serikat,Partner,Spain,false,false,false,
serquo,Partner,Spain,false,false,false,
siemens,Partner,Spain,false,false,false,
smartup,Partner,Spain,true,false,false,
sescam,Cliente,Spain,,,false,
sgad,Cliente,Spain,,,false,
sofka,Partner,LATAM,,,false,7250.0
sigma,,,,,false,
softwareone,Partner,,,,false,
soprasteria,Partner,Spain,,,false,
space,Partner,Spain,false,false,false,
sri,,,,,false,
tcs,Partner,LATAM,,,false,
tech,Partner,Spain,true,true,true,
teknei,Partner,Spain,true,true,false,
telefonica,Partner,Spain,true,true,false,
uk,Partner,UK,false,false,false,
ubpd,Cliente,LATAM,,,false,
veolia,Cliente,France,,,false,
versia,Cliente,Spain,,,false,
dxc,Partner,,,,false,
wizeline,Partner,Spain,false,false,false,
